time,seconds_elapsed,brightness
1682879830460000000,1.013,0.5
1682879831443000000,1.996,0.5
1682879832430000000,2.983000244140625,0.5
1682879833412000000,3.965,0.5
1682879834397000000,4.95,0.5
1682879835382000000,5.935000244140625,0.5
1682879836365000000,6.918,0.5
1682879837352000000,7.905,0.5
1682879838335000000,8.888,0.5
1682879839315000000,9.868,0.5
1682879840293000000,10.846,0.5
1682879841273000000,11.826,0.5
1682879842254000000,12.807000244140625,0.5
1682879843231000000,13.784,0.5
1682879844213000000,14.766,0.5
1682879845191000000,15.744,0.5
1682879846168000000,16.721,0.5
1682879847152000000,17.705,0.5
1682879848129000000,18.682,0.5
1682879849113000000,19.666,0.5
1682879850087000000,20.64,0.5
1682879851067000000,21.62,0.5
1682879852048000000,22.601,0.5
