time,seconds_elapsed,z,y,x
1682880503171223300,0.129223388671875,-29.87779998779297,-30.951398849487305,-13.175999641418457
1682880503181212400,0.13921240234375,-29.4507999420166,-31.19540023803711,-13.297999382019043
1682880503191223300,0.149223388671875,-30.5,-31.183198928833008,-15.066999435424805
1682880503201223200,0.15922314453125,-29.316598892211914,-30.79279899597168,-14.73759937286377
1682880503211212300,0.16921240234375,-29.14579963684082,-30.51219940185547,-14.298399925231934
1682880503221223200,0.17922314453125,-29.243398666381836,-30.53660011291504,-15.347599983215332
1682880503231223000,0.18922314453125,-29.194599151611328,-31.317399978637695,-15.39639949798584
1682880503241212400,0.19921240234375,-27.242599487304688,-30.731800079345703,-15.04259967803955
1682880503251223300,0.209223388671875,-27.950199127197266,-31.610198974609375,-14.261799812316895
1682880503261204500,0.21920458984375,-27.327999114990234,-31.610198974609375,-15.103599548339844
1682880503271223000,0.22922314453125,-27.706199645996094,-31.610198974609375,-14.371600151062012
1682880503281226800,0.239226806640625,-27.962398529052734,-31.707799911499023,-14.786399841308594
1682880503291206400,0.249206298828125,-27.80379867553711,-31.634599685668945,-15.518399238586426
1682880503301223400,0.259223388671875,-28.852998733520508,-31.500398635864258,-16.030799865722656
1682880503311222800,0.269222900390625,-26.718000411987305,-31.17099952697754,-15.90880012512207
1682880503321223200,0.27922314453125,-26.80340003967285,-31.939599990844727,-15.018199920654297
1682880503331219000,0.289218994140625,-27.41339874267578,-31.951799392700195,-14.810799598693848
1682880503341223700,0.2992236328125,-26.547199249267578,-31.524799346923828,-16.457799911499023
1682880503351212500,0.309212646484375,-26.620399475097656,-32.305599212646484,-16.396799087524414
1682880503361223400,0.319223388671875,-25.766399383544922,-32.28120040893555,-16.396799087524414
1682880503371221500,0.329221435546875,-25.4247989654541,-32.46419906616211,-17.14099884033203
1682880503381223000,0.339222900390625,-24.814800262451172,-32.549598693847656,-18.092599868774414
1682880503391216400,0.34921630859375,-24.741600036621094,-32.72039794921875,-17.994998931884766
1682880503401212400,0.35921240234375,-24.058399200439453,-32.43980026245117,-18.092599868774414
1682880503411223300,0.369223388671875,-23.777799606323242,-32.78139877319336,-18.214599609375
1682880503421223200,0.37922314453125,-23.314199447631836,-32.4276008605957,-18.824600219726562
1682880503431213300,0.38921337890625,-23.277599334716797,-32.354400634765625,-19.654199600219727
1682880503441223000,0.399222900390625,-22.057600021362305,-32.4276008605957,-20.703399658203125
1682880503451233500,0.409233642578125,-21.996599197387695,-32.1713981628418,-20.788799285888672
1682880503461223200,0.41922314453125,-21.118200302124023,-32.683799743652344,-21.764799118041992
1682880503471223300,0.429223388671875,-19.84939956665039,-32.90340042114258,-21.679399490356445
1682880503481212400,0.43921240234375,-20.142200469970703,-33.183998107910156,-22.326000213623047
1682880503491212500,0.449212646484375,-18.54399871826172,-32.622798919677734,-22.716400146484375
1682880503501223000,0.459222900390625,-15.762399673461914,-33.684200286865234,-23.0945987701416
1682880503511213800,0.4692138671875,-15.25,-34.001399993896484,-22.704198837280273
1682880503521223200,0.47922314453125,-15.506199836730957,-34.11119842529297,-23.021400451660156
1682880503531225900,0.489225830078125,-15.066999435424805,-33.84280014038086,-23.423999786376953
1682880503541223200,0.49922314453125,-14.73759937286377,-34.42839813232422,-22.826200485229492
1682880503551223000,0.50922314453125,-15.652599334716797,-34.196598052978516,-22.606599807739258
1682880503561212400,0.51921240234375,-14.481399536132812,-34.3307991027832,-22.50899887084961
1682880503571223300,0.529223388671875,-16.018600463867188,-34.623600006103516,-22.008800506591797
1682880503581223200,0.53922314453125,-15.457399368286133,-34.35519790649414,-22.094200134277344
1682880503591219500,0.549219482421875,-16.433399200439453,-34.39179992675781,-22.411399841308594
1682880503601213700,0.559213623046875,-15.920999526977539,-34.80659866333008,-22.43579864501953
1682880503611220000,0.569219970703125,-15.725799560546875,-34.45280075073242,-22.301599502563477
1682880503621223400,0.579223388671875,-15.04259967803955,-33.64759826660156,-22.47239875793457
1682880503631223300,0.589223388671875,-15.615999221801758,-34.12339782714844,-23.643600463867188
1682880503641207300,0.599207275390625,-15.274399757385254,-34.196598052978516,-23.338600158691406
1682880503651223000,0.60922314453125,-15.579400062561035,-33.51340103149414,-23.81439971923828
1682880503661223000,0.619222900390625,-15.628199577331543,-33.2693977355957,-24.216999053955078
1682880503671207400,0.62920751953125,-15.701399803161621,-33.09859848022461,-24.729398727416992
1682880503681223200,0.63922314453125,-15.664799690246582,-32.927799224853516,-24.619600296020508
1682880503691223000,0.64922314453125,-15.786799430847168,-32.927799224853516,-24.619600296020508
1682880503701223200,0.65922314453125,-17.323999404907227,-32.69599914550781,-23.655799865722656
1682880503711215000,0.669215087890625,-17.360599517822266,-32.878997802734375,-23.985198974609375
1682880503721219300,0.67921923828125,-17.87299919128418,-32.976600646972656,-23.777799606323242
1682880503731212800,0.689212890625,-18.324399948120117,-33.34259796142578,-23.802200317382812
1682880503741223200,0.69922314453125,-18.043800354003906,-32.52519989013672,-22.606599807739258
1682880503751212500,0.709212646484375,-17.946199417114258,-32.70819854736328,-23.13119888305664
1682880503761223000,0.719222900390625,-19.15399932861328,-33.17179870605469,-23.057998657226562
1682880503771223000,0.72922314453125,-19.715200424194336,-32.91559982299805,-22.094200134277344
1682880503781212700,0.739212646484375,-19.654199600219727,-32.232398986816406,-23.20439910888672
1682880503791223000,0.74922314453125,-19.81279945373535,-32.41539764404297,-23.423999786376953
1682880503801223400,0.759223388671875,-20.032400131225586,-31.80539894104004,-22.8627986907959
1682880503811221200,0.76922119140625,-20.752199172973633,-31.73219871520996,-22.447999954223633
1682880503821223000,0.779222900390625,-20.727800369262695,-30.707399368286133,-23.423999786376953
1682880503831212800,0.789212890625,-21.728199005126953,-30.390199661254883,-24.034000396728516
1682880503841223400,0.799223388671875,-21.54520034790039,-30.658599853515625,-24.363399505615234
1682880503851223600,0.8092236328125,-21.923398971557617,-30.243799209594727,-24.643999099731445
1682880503861223200,0.81922314453125,-22.289400100708008,-30.243799209594727,-24.54640007019043
1682880503871223000,0.82922314453125,-21.679399490356445,-29.80459976196289,-25.351598739624023
1682880503881231600,0.839231689453125,-21.923398971557617,-29.81679916381836,-25.14419937133789
1682880503891223300,0.849223388671875,-22.4601993560791,-29.572799682617188,-25.656599044799805
1682880503901223000,0.859222900390625,-21.045000076293945,-29.18239974975586,-25.4247989654541
1682880503911217000,0.869216796875,-21.53299903869629,-29.292200088500977,-26.059200286865234
1682880503921211600,0.879211669921875,-20.84980010986328,-29.4385986328125,-25.754199981689453
1682880503931223300,0.889223388671875,-21.55739974975586,-28.86520004272461,-26.13239860534668
1682880503941212400,0.89921240234375,-21.55739974975586,-28.852998733520508,-25.924999237060547
1682880503951223300,0.909223388671875,-21.959999084472656,-29.048198699951172,-26.242198944091797
1682880503961223000,0.919222900390625,-21.87459945678711,-28.706600189208984,-26.327598571777344
1682880503971223000,0.92922314453125,-21.679399490356445,-28.340599060058594,-25.998199462890625
1682880503981223200,0.93922314453125,-20.093399047851562,-28.401599884033203,-27.047399520874023
1682880503991213000,0.949213134765625,-20.044599533081055,-27.706199645996094,-27.108400344848633
1682880504001223400,0.959223388671875,-18.51959991455078,-27.388999938964844,-26.77899932861328
1682880504011219500,0.969219482421875,-19.17840003967285,-27.681798934936523,-27.535400390625
1682880504021212700,0.979212646484375,-17.690000534057617,-27.035200119018555,-27.80379867553711
1682880504031212500,0.989212646484375,-18.617198944091797,-26.998600006103516,-29.060400009155273
1682880504041223200,0.99922314453125,-17.86079978942871,-26.4739990234375,-29.865598678588867
1682880504051212500,1.009212646484375,-17.90959930419922,-25.693199157714844,-30.13399887084961
1682880504061223000,1.019222900390625,-17.21419906616211,-25.754199981689453,-29.719200134277344
1682880504071212500,1.029212646484375,-18.970998764038086,-25.656599044799805,-31.061199188232422
1682880504081223000,1.039222900390625,-18.22679901123047,-25.53459930419922,-30.53660011291504
1682880504091223000,1.04922314453125,-18.092599868774414,-25.010000228881836,-30.609800338745117
1682880504101212700,1.059212646484375,-17.653400421142578,-25.16860008239746,-30.731800079345703
1682880504111223000,1.06922314453125,-17.994998931884766,-25.619998931884766,-30.75619888305664
1682880504121223200,1.07922314453125,-17.763198852539062,-25.607799530029297,-30.231599807739258
1682880504131212500,1.089212646484375,-18.15359878540039,-25.693199157714844,-29.926599502563477
1682880504141223700,1.0992236328125,-18.482999801635742,-25.10759925842285,-30.621999740600586
1682880504151215600,1.109215576171875,-17.921798706054688,-25.15639877319336,-29.47519874572754
1682880504161212400,1.11921240234375,-19.702999114990234,-26.095800399780273,-30.14620018005371
1682880504171223300,1.129223388671875,-18.397600173950195,-25.705398559570312,-30.024198532104492
1682880504181206300,1.139206298828125,-19.2637996673584,-25.302799224853516,-30.09739875793457
1682880504191223000,1.14922314453125,-19.84939956665039,-25.24180030822754,-30.51219940185547
1682880504201223000,1.159222900390625,-19.837200164794922,-25.24180030822754,-30.939199447631836
1682880504211218400,1.169218505859375,-19.84939956665039,-25.24180030822754,-30.7195987701416
1682880504221212700,1.179212646484375,-20.007999420166016,-24.887998580932617,-30.390199661254883
1682880504231223300,1.189223388671875,-20.86199951171875,-24.49759864807129,-31.19540023803711
1682880504241223000,1.199222900390625,-21.252399444580078,-24.070598602294922,-31.17099952697754
1682880504251223000,1.20922314453125,-20.9596004486084,-23.899799346923828,-31.585800170898438
1682880504261227800,1.219227783203125,-21.630599975585938,-23.22879981994629,-31.744400024414062
1682880504271223300,1.229223388671875,-21.715999603271484,-23.47279930114746,-31.03679847717285
1682880504281223400,1.239223388671875,-21.947799682617188,-22.960399627685547,-31.41499900817871
1682880504291212500,1.249212646484375,-22.313798904418945,-22.447999954223633,-30.963600158691406
1682880504301223000,1.259222900390625,-23.253198623657227,-22.301599502563477,-31.061199188232422
1682880504311212300,1.26921240234375,-23.558198928833008,-21.93560028076172,-29.987600326538086
1682880504321213000,1.279212890625,-24.070598602294922,-21.1914005279541,-31.305198669433594
1682880504331223300,1.289223388671875,-25.11979866027832,-20.53260040283203,-31.15880012512207
1682880504341213200,1.299213134765625,-25.583398818969727,-19.934799194335938,-31.12220001220703
1682880504351212300,1.30921240234375,-25.49799919128418,-19.068599700927734,-31.378398895263672
1682880504361212400,1.31921240234375,-25.680999755859375,-18.27560043334961,-30.80500030517578
1682880504371213000,1.329213134765625,-26.986398696899414,-17.702199935913086,-31.085599899291992
1682880504381223200,1.33922314453125,-26.718000411987305,-16.56760025024414,-30.914798736572266
1682880504391223000,1.34922314453125,-27.47439956665039,-15.725799560546875,-31.48819923400879
1682880504401223200,1.35922314453125,-28.023399353027344,-15.579400062561035,-32.31779861450195
1682880504411223000,1.36922314453125,-27.80379867553711,-14.188599586486816,-32.85459899902344
1682880504421214000,1.3792138671875,-28.42599868774414,-13.249199867248535,-32.48859786987305
1682880504431223300,1.389223388671875,-28.413799285888672,-11.785200119018555,-33.75740051269531
1682880504441223200,1.39922314453125,-28.14539909362793,-10.650599479675293,-33.684200286865234
1682880504451206100,1.4092060546875,-27.5231990814209,-9.174399375915527,-34.85540008544922
1682880504461223200,1.41922314453125,-27.681798934936523,-7.344399929046631,-34.84320068359375
1682880504471223300,1.429223388671875,-26.998600006103516,-6.124399662017822,-36.0265998840332
1682880504481212700,1.439212646484375,-26.229999542236328,-3.5013999938964844,-36.80739974975586
1682880504491223000,1.44922314453125,-25.302799224853516,-1.6469999551773071,-36.904998779296875
1682880504501223000,1.459222900390625,-25.1929988861084,-0.15860000252723694,-36.81959915161133
1682880504511223000,1.46922314453125,-23.899799346923828,1.073599934577942,-37.79560089111328
1682880504521223200,1.47922314453125,-24.16819953918457,2.452199935913086,-38.3323974609375
1682880504531217200,1.489217041015625,-22.960399627685547,3.4526000022888184,-38.173797607421875
1682880504541222700,1.49922265625,-22.045398712158203,4.160200119018555,-38.869197845458984
1682880504551219200,1.50921923828125,-21.715999603271484,5.575399875640869,-38.46659851074219
1682880504561212400,1.51921240234375,-20.813199996948242,6.295199871063232,-38.94239807128906
1682880504571223000,1.52922314453125,-20.117799758911133,7.088200092315674,-39.52799987792969
1682880504581223200,1.53922314453125,-19.81279945373535,7.881199836730957,-39.36940002441406
1682880504591212500,1.549212646484375,-19.410200119018555,9.12559986114502,-39.08879852294922
1682880504601223200,1.55922314453125,-18.092599868774414,10.028399467468262,-39.357200622558594
1682880504611209500,1.56920947265625,-17.921798706054688,10.199199676513672,-39.552398681640625
1682880504621223000,1.579222900390625,-17.445999145507812,11.175199508666992,-39.601200103759766
1682880504631223300,1.589223388671875,-16.89699935913086,11.980400085449219,-39.235198974609375
1682880504641213000,1.599212890625,-16.079599380493164,12.980799674987793,-38.234798431396484
1682880504651222800,1.609222900390625,-14.90839958190918,13.798199653625488,-38.71059799194336
1682880504661229800,1.619229736328125,-14.164199829101562,14.859600067138672,-39.07659912109375
1682880504671223300,1.629223388671875,-13.920199394226074,15.39639949798584,-38.72279739379883
1682880504681223200,1.63922314453125,-12.22439956665039,15.981999397277832,-37.856597900390625
1682880504691234300,1.649234375,-11.163000106811523,16.88479995727539,-38.01519775390625
1682880504701223400,1.659223388671875,-11.163000106811523,16.88479995727539,-38.01519775390625
1682880504711223600,1.6692236328125,-9.662400245666504,17.104398727416992,-37.905399322509766
1682880504721212400,1.67921240234375,-9.44279956817627,18.092599868774414,-36.904998779296875
1682880504731223000,1.68922314453125,-8.308199882507324,18.299999237060547,-36.892799377441406
1682880504741223000,1.699222900390625,-8.479000091552734,18.55620002746582,-37.08799743652344
1682880504751212500,1.709212646484375,-7.637199878692627,19.117399215698242,-36.526798248291016
1682880504761206500,1.71920654296875,-6.5513997077941895,19.056400299072266,-36.843997955322266
1682880504771234600,1.729234619140625,-6.673399925231934,19.58099937438965,-36.709800720214844
1682880504781226000,1.73922607421875,-6.404999732971191,19.239398956298828,-36.41699981689453
1682880504791212300,1.74921240234375,-5.380199909210205,19.446800231933594,-36.51459884643555
1682880504801212700,1.759212646484375,-5.062999725341797,19.28820037841797,-36.319400787353516
1682880504811223300,1.769223388671875,-3.9039998054504395,19.58099937438965,-36.30719757080078
1682880504821223200,1.77922314453125,-3.9284000396728516,19.4955997467041,-35.98999786376953
1682880504831212800,1.789212890625,-3.6111998558044434,19.336999893188477,-35.7947998046875
1682880504841223000,1.799222900390625,-3.2207999229431152,19.959199905395508,-35.75819778442383
1682880504851223300,1.809223388671875,-2.537600040435791,19.715200424194336,-36.1973991394043
1682880504861212400,1.81921240234375,-1.1589999198913574,19.934799194335938,-35.86800003051758
1682880504871222800,1.829222900390625,-2.061800003051758,19.739599227905273,-35.67279815673828
1682880504881209000,1.839208984375,-1.0247999429702759,20.020198822021484,-35.965599060058594
1682880504891223000,1.84922314453125,-1.207800030708313,20.288599014282227,-35.53860092163086
1682880504901223000,1.859222900390625,-0.7685999870300293,20.1299991607666,-35.55080032348633
1682880504911212500,1.869212646484375,0.3659999966621399,20.337400436401367,-35.22140121459961
1682880504921223400,1.879223388671875,1.5981999635696411,20.48379898071289,-34.586997985839844
1682880504931223300,1.889223388671875,2.830399990081787,20.605798721313477,-34.269798278808594
1682880504941223200,1.89922314453125,3.6843998432159424,20.105600357055664,-34.306400299072266
1682880504951223300,1.909223388671875,4.574999809265137,19.78839874267578,-34.635799407958984
1682880504961220000,1.91922021484375,6.343999862670898,19.2637996673584,-32.69599914550781
1682880504971223300,1.929223388671875,6.514800071716309,19.434598922729492,-32.89120101928711
1682880504981220000,1.93922021484375,7.722599983215332,19.385799407958984,-33.318199157714844
1682880504991212500,1.949212646484375,8.454599380493164,18.983200073242188,-32.610599517822266
1682880505001223200,1.95922314453125,9.528200149536133,18.922199249267578,-32.8302001953125
1682880505011212500,1.969212646484375,8.820599555969238,18.458599090576172,-32.95219802856445
1682880505021212700,1.979212646484375,10.260199546813965,18.421998977661133,-32.96440124511719
1682880505031223300,1.989223388671875,9.808799743652344,17.641199111938477,-31.75659942626953
1682880505041217000,1.999217041015625,9.991799354553223,16.95800018310547,-31.47599983215332
1682880505051223000,2.00922314453125,9.589200019836426,16.762800216674805,-31.695598602294922
1682880505061223200,2.01922314453125,9.027999877929688,16.286998748779297,-33.196197509765625
1682880505071215000,2.029215087890625,8.442399978637695,15.725799560546875,-34.379600524902344
1682880505081223200,2.03922314453125,9.003600120544434,15.152400016784668,-33.049800872802734
1682880505091212500,2.049212646484375,9.381799697875977,14.627799987792969,-33.91600036621094
1682880505101212400,2.05921240234375,8.710800170898438,14.347199440002441,-33.940399169921875
1682880505111223000,2.06922314453125,8.91819953918457,13.639599800109863,-34.70899963378906
1682880505121223000,2.079222900390625,8.661999702453613,12.590399742126465,-34.562599182128906
1682880505131212500,2.089212646484375,8.893799781799316,11.980400085449219,-34.80659866333008
1682880505141209300,2.099209228515625,7.881199836730957,12.297599792480469,-35.001800537109375
1682880505151212500,2.109212646484375,7.612799644470215,12.09019947052002,-36.05099868774414
1682880505161223200,2.11922314453125,7.551799774169922,11.821800231933594,-36.07539749145508
1682880505171223000,2.12922314453125,6.112199783325195,10.809199333190918,-36.75859832763672
1682880505181212400,2.13921240234375,6.466000080108643,10.613999366760254,-38.125
1682880505191212500,2.149212646484375,5.282599925994873,10.235799789428711,-38.14939880371094
1682880505201223000,2.159222900390625,5.184999942779541,9.906399726867676,-37.222198486328125
1682880505211223000,2.16922314453125,3.2330000400543213,8.686399459838867,-38.344600677490234
1682880505221223200,2.17922314453125,3.4282000064849854,7.990999698638916,-38.69839859008789
1682880505231208200,2.189208251953125,1.9642000198364258,7.417599678039551,-38.72279739379883
1682880505241212400,2.19921240234375,1.3664000034332275,7.393199920654297,-39.040000915527344
1682880505251223600,2.2092236328125,1.1589999198913574,6.941799640655518,-39.90620040893555
1682880505261212700,2.219212646484375,0.9393999576568604,7.112599849700928,-39.27180099487305
1682880505271223000,2.22922314453125,1.9519999027252197,5.758399963378906,-39.357200622558594
1682880505281212700,2.239212646484375,0.9393999576568604,6.5879998207092285,-39.40599822998047
1682880505291213800,2.2492138671875,1.305400013923645,7.124799728393555,-39.27180099487305
1682880505301223400,2.259223388671875,2.013000011444092,7.600599765777588,-38.72279739379883
1682880505311212500,2.269212646484375,1.9886000156402588,7.405399799346924,-39.674400329589844
1682880505321223200,2.27922314453125,1.500599980354309,7.490799903869629,-38.83259963989258
1682880505331223300,2.289223388671875,1.6957999467849731,7.332200050354004,-38.62519836425781
1682880505341220900,2.299220947265625,1.7933999300003052,8.198399543762207,-38.89360046386719
1682880505351223600,2.3092236328125,1.6591999530792236,8.100799560546875,-39.21080017089844
1682880505361223200,2.31922314453125,0.6466000080108643,7.881199836730957,-39.84519958496094
1682880505371223000,2.32922314453125,1.0247999429702759,7.466399669647217,-39.34499740600586
1682880505381214000,2.3392138671875,-1.1345999240875244,7.051599979400635,-39.25959777832031
1682880505391223000,2.34922314453125,-0.8295999765396118,7.856800079345703,-38.795997619628906
1682880505401212700,2.359212646484375,-1.329800009727478,8.271599769592285,-38.979000091552734
