time,seconds_elapsed,z,y,x
1682879936135873500,0.15987353515625,-34.23320007324219,-31.73219871520996,-6.417200088500977
1682879936145903900,0.16990380859375,-34.64799880981445,-31.500398635864258,-7.027199745178223
1682879936155890700,0.179890625,-35.3677978515625,-30.47559928894043,-6.96619987487793
1682879936165879800,0.1898798828125,-34.77000045776367,-30.024198532104492,-7.039400100708008
1682879936175880400,0.19988037109375,-35.70940017700195,-29.4507999420166,-7.94219970703125
1682879936185879800,0.2098798828125,-35.91679763793945,-29.279998779296875,-7.515199661254883
1682879936195880000,0.2198798828125,-36.6609992980957,-27.925800323486328,-8.479000091552734
1682879936205880300,0.22988037109375,-36.965999603271484,-26.718000411987305,-8.930399894714355
1682879936215890400,0.239890380859375,-37.527198791503906,-26.2544002532959,-10.882399559020996
1682879936225880300,0.24988037109375,-37.44179916381836,-24.119400024414062,-13.261399269104004
1682879936235890700,0.259890625,-37.0635986328125,-23.60700035095215,-14.06659984588623
1682879936245879300,0.26987939453125,-37.67359924316406,-23.302000045776367,-15.615999221801758
1682879936255890700,0.279890625,-37.344200134277344,-22.52120018005371,-16.2992000579834
1682879936265890800,0.289890869140625,-37.62479782104492,-22.081998825073242,-15.640399932861328
1682879936275880400,0.29988037109375,-37.856597900390625,-22.630998611450195,-16.61639976501465
1682879936285890300,0.309890380859375,-38.295799255371094,-22.47239875793457,-16.811599731445312
1682879936295890400,0.319890380859375,-37.99079895019531,-22.728599548339844,-16.9335994720459
1682879936305887000,0.329886962890625,-38.21039962768555,-22.960399627685547,-14.969399452209473
1682879936315890700,0.339890625,-37.17340087890625,-23.19219970703125,-15.189000129699707
1682879936325883400,0.34988330078125,-36.99039840698242,-23.972999572753906,-15.554999351501465
1682879936335890700,0.359890625,-37.41740036010742,-24.253599166870117,-15.7746000289917
1682879936345878800,0.369878662109375,-37.39299774169922,-24.16819953918457,-15.56719970703125
1682879936355898600,0.379898681640625,-37.11240005493164,-25.034399032592773,-15.933199882507324
1682879936365890800,0.389890869140625,-36.270599365234375,-25.10759925842285,-16.665199279785156
1682879936375890400,0.399890380859375,-36.03879928588867,-25.302799224853516,-17.726598739624023
1682879936385873200,0.409873046875,-35.965599060058594,-25.571199417114258,-18.470800399780273
1682879936395890400,0.419890380859375,-34.13560104370117,-26.046998977661133,-18.824600219726562
1682879936405890300,0.429890380859375,-33.01319885253906,-26.034799575805664,-19.87380027770996
1682879936415900700,0.439900634765625,-32.96440124511719,-26.925399780273438,-20.654600143432617
1682879936425888300,0.44988818359375,-31.646799087524414,-27.596399307250977,-21.85019874572754
1682879936435899100,0.459899169921875,-29.670398712158203,-26.937599182128906,-22.130800247192383
1682879936445886700,0.46988671875,-30.646398544311523,-27.913599014282227,-21.447599411010742
1682879936455876400,0.47987646484375,-30.12179946899414,-27.291399002075195,-21.728199005126953
1682879936465880000,0.489880126953125,-29.597198486328125,-27.730600357055664,-22.801799774169922
1682879936475891700,0.4998916015625,-27.7549991607666,-28.218599319458008,-23.88759994506836
1682879936485890300,0.509890380859375,-27.706199645996094,-28.047800064086914,-24.18039894104004
1682879936495890400,0.519890380859375,-27.376798629760742,-28.218599319458008,-24.50979995727539
1682879936505890300,0.529890380859375,-27.5231990814209,-28.82859992980957,-24.021799087524414
1682879936515882200,0.53988232421875,-27.279199600219727,-28.303998947143555,-24.302398681640625
1682879936525880300,0.54988037109375,-26.925399780273438,-28.377199172973633,-24.314599990844727
1682879936535890700,0.559890625,-26.705799102783203,-28.035598754882812,-25.131999969482422
1682879936545880000,0.569880126953125,-27.657400131225586,-27.876998901367188,-24.387800216674805
1682879936555900400,0.579900390625,-27.352399826049805,-28.13319969177246,-24.607398986816406
1682879936565890300,0.589890380859375,-28.45039939880371,-28.1697998046875,-24.399999618530273
1682879936575891500,0.599891357421875,-27.79159927368164,-28.401599884033203,-24.10719871520996
1682879936585890300,0.609890380859375,-27.79159927368164,-28.401599884033203,-24.10719871520996
1682879936595896300,0.619896240234375,-27.88920021057129,-28.316200256347656,-23.777799606323242
1682879936605890600,0.629890625,-28.14539909362793,-28.316200256347656,-23.47279930114746
1682879936615880200,0.639880126953125,-27.681798934936523,-28.377199172973633,-23.265399932861328
1682879936625879800,0.6498798828125,-28.42599868774414,-28.51140022277832,-23.997400283813477
1682879936635890700,0.659890625,-28.45039939880371,-28.584598541259766,-23.692399978637695
1682879936645890600,0.669890625,-28.889598846435547,-28.962799072265625,-24.24139976501465
1682879936655879200,0.679879150390625,-28.926198959350586,-28.608999252319336,-24.009599685668945
1682879936665889800,0.689889892578125,-28.364999771118164,-28.243000030517578,-23.88759994506836
1682879936675895600,0.6998955078125,-28.316200256347656,-28.596799850463867,-24.10719871520996
