sensor,time,seconds_elapsed,z,y,x,relativeAltitude,pressure,batteryLevel,batteryState,lowPowerMode,brightness,lux,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude,version,device name,recording time,platform,appVersion,device id,sensors,sampleRateMs,qz,qy,qx,qw,roll,pitch,yaw
Location,1.682086162549e+18,0.919,,,,,,,,,,,0.0,0.0,1.6692003011703491,13.310999870300293,0.0,0.0,372.3999938964844,11.086088,49.4585907,,,,,,,,,,,,,,,
Location,1.682086167575e+18,5.945,,,,,,,,,,,0.0,0.0,1.5997185707092285,13.32699966430664,0.0907529890537262,0.0,372.3999938964844,11.0860906,49.4585899,,,,,,,,,,,,,,,
Location,1.682086172613e+18,10.983,,,,,,,,,,,0.0,0.0,1.6972813606262207,13.630000114440918,0.07499048858880997,0.0,372.3999938964844,11.0860956,49.458591,,,,,,,,,,,,,,,
Location,1.6820861776667412e+18,16.0367412109375,,,,,,,,,,,0.0,0.0,1.7248984575271606,19.142000198364258,0.09352688491344452,0.0,372.3999938964844,11.0861018,49.4585936,,,,,,,,,,,,,,,
Location,1.6820861807038702e+18,19.0738701171875,,,,,,,,,,,0.0,0.0,1.7585277557373047,24.270999908447266,0.0929931178689003,0.0,372.3999938964844,11.0861054,49.4585889,,,,,,,,,,,,,,,
Location,1.6820861827286154e+18,21.098615478515626,,,,,,,,,,,0.0,0.0,1.7513976097106934,24.38599967956543,0.1136949360370636,139.95822143554688,372.3999938964844,11.0861064,49.458585,,,,,,,,,,,,,,,
Location,1.6820861852722035e+18,23.64220361328125,,,,,,,,,,,0.0,0.0,1.7850606441497803,24.691999435424805,0.12182166427373886,150.4093780517578,372.3999938964844,11.0861078,49.4585814,,,,,,,,,,,,,,,
Location,1.682086187803126e+18,26.1731259765625,,,,,,,,,,,0.0,0.0,1.6489804983139038,25.719999313354492,0.10885327309370041,140.38746643066406,372.3999938964844,11.0861107,49.4585809,,,,,,,,,,,,,,,
Location,1.682086190840256e+18,29.210256103515626,,,,,,,,,,,0.0,0.0,1.677345871925354,25.768999099731445,0.07781155407428741,0.0,372.3999938964844,11.0861137,49.458582,,,,,,,,,,,,,,,
Location,1.682086191852626e+18,30.2226259765625,,,,,,,,,,,0.0,0.0,1.677345871925354,25.71500015258789,0.06529523432254791,0.0,372.3999938964844,11.0861142,49.4585837,,,,,,,,,,,,,,,
Location,1.6820861923588152e+18,30.728815185546875,,,,,,,,,,,0.0,0.0,1.652092456817627,25.663000106811523,0.05902794003486633,0.0,372.3999938964844,11.0861143,49.4585848,,,,,,,,,,,,,,,
Location,1.682086197825e+18,36.195,,,,,,,,,,,0.0,0.0,1.7178820371627808,13.550999641418457,0.14526085555553436,310.1153564453125,372.3999938964844,11.0860967,49.4585923,,,,,,,,,,,,,,,
Location,1.682086202845e+18,41.215,,,,,,,,,,,0.0,0.0,1.6447571516036987,13.104000091552734,0.04765168949961662,0.0,372.3999938964844,11.086097,49.4585914,,,,,,,,,,,,,,,
Location,1.682086207803e+18,46.173,,,,,,,,,,,0.0,0.0,1.6556293964385986,13.022000312805176,0.05247693881392479,0.0,372.3999938964844,11.0860931,49.4585919,,,,,,,,,,,,,,,
Location,1.682086212911e+18,51.281,,,,,,,,,,,0.0,0.0,1.6272333860397339,13.276000022888184,0.028896527364850044,0.0,372.3999938964844,11.0860974,49.4585899,,,,,,,,,,,,,,,
Location,1.682086217875e+18,56.245,,,,,,,,,,,0.0,0.0,1.6707870960235596,12.732000350952148,0.02044854871928692,0.0,372.3999938964844,11.0860945,49.4585911,,,,,,,,,,,,,,,
Location,1.682086222967e+18,61.337,,,,,,,,,,,0.0,0.0,1.6404508352279663,12.11400032043457,0.04371106997132301,0.0,372.3999938964844,11.0860905,49.4585912,,,,,,,,,,,,,,,
Location,1.682086227984e+18,66.354,,,,,,,,,,,0.0,0.0,1.6135432720184326,12.960000038146973,0.04727786034345627,0.0,372.3999938964844,11.0860992,49.4585907,,,,,,,,,,,,,,,
Location,1.68208623297e+18,71.33999975585938,,,,,,,,,,,0.0,0.0,1.640224575996399,12.718000411987305,0.09844895452260971,0.0,372.3999938964844,11.0860923,49.4585926,,,,,,,,,,,,,,,
Location,1.682086238079e+18,76.449,,,,,,,,,,,0.0,0.0,1.6300159692764282,20.0,0.07670054584741592,0.0,372.3999938964844,11.0860911,49.4585888,,,,,,,,,,,,,,,
Location,1.682086243118e+18,81.48800024414062,,,,,,,,,,,0.0,0.0,1.5895438194274902,12.821999549865723,0.07933784276247025,0.0,372.3999938964844,11.0860975,49.4585889,,,,,,,,,,,,,,,
Location,1.682086248125e+18,86.495,,,,,,,,,,,0.0,0.0,1.5936959981918335,12.24899959564209,0.10488850623369217,318.0405578613281,372.3999938964844,11.0860919,49.4585927,,,,,,,,,,,,,,,
Location,1.682086253168e+18,91.538,,,,,,,,,,,0.0,0.0,1.5868788957595825,12.017000198364258,0.021369656547904015,0.0,372.3999938964844,11.0860917,49.4585915,,,,,,,,,,,,,,,
Location,1.682086258204e+18,96.574,,,,,,,,,,,0.0,0.0,1.571385145187378,12.881999969482422,0.053233396261930466,0.0,372.3999938964844,11.0860945,49.4585897,,,,,,,,,,,,,,,
Location,1.68208626324e+18,101.61,,,,,,,,,,,0.0,0.0,1.5696382522583008,12.192999839782715,0.06344375014305115,0.0,372.3999938964844,11.0860904,49.4585916,,,,,,,,,,,,,,,
Location,1.682086268302e+18,106.67200024414062,,,,,,,,,,,0.0,0.0,1.5228112936019897,12.758999824523926,0.0957619845867157,0.0,372.3999938964844,11.0860968,49.458594,,,,,,,,,,,,,,,
Location,1.682086273325e+18,111.695,,,,,,,,,,,0.0,0.0,1.514626145362854,20.0,0.07795686274766922,0.0,372.3999938964844,11.0860969,49.4585901,,,,,,,,,,,,,,,
Location,1.68208627836e+18,116.73,,,,,,,,,,,0.0,0.0,1.5261125564575195,13.220000267028809,0.05233607813715935,0.0,372.3999938964844,11.0860934,49.458589,,,,,,,,,,,,,,,
Location,1.682086283298e+18,121.66799975585937,,,,,,,,,,,0.0,0.0,1.5479145050048828,15.479999542236328,0.17657458782196045,82.21983337402344,372.3999938964844,11.0861038,49.45859,,,,,,,,,,,,,,,
Location,1.682086288357e+18,126.727,,,,,,,,,,,0.0,0.0,1.5930687189102173,14.979000091552734,0.1235048919916153,290.04071044921875,372.3999938964844,11.0860926,49.4585921,,,,,,,,,,,,,,,
Location,1.68208629337e+18,131.73999975585937,,,,,,,,,,,0.0,0.0,1.6278960704803467,20.0,0.03869326785206795,0.0,372.3999938964844,11.0860956,49.4585886,,,,,,,,,,,,,,,
Location,1.682086298442e+18,136.81199975585938,,,,,,,,,,,0.0,0.0,1.630294680595398,13.236000061035156,0.01828799769282341,0.0,372.3999938964844,11.0860986,49.4585901,,,,,,,,,,,,,,,
Location,1.682086303482e+18,141.85199975585937,,,,,,,,,,,0.0,0.0,1.7080806493759155,20.899999618530273,0.030928637832403183,0.0,372.3999938964844,11.0861008,49.4585889,,,,,,,,,,,,,,,
Location,1.682086308478e+18,146.84800024414062,,,,,,,,,,,0.0,0.0,1.7432376146316528,18.863000869750977,0.04004029557108879,0.0,372.3999938964844,11.0860976,49.4585914,,,,,,,,,,,,,,,
Location,1.682086313571e+18,151.941,,,,,,,,,,,0.0,0.0,1.716526746749878,14.998000144958496,0.04497585445642471,0.0,372.3999938964844,11.0860958,49.4585933,,,,,,,,,,,,,,,
Location,1.682086318579e+18,156.949,,,,,,,,,,,0.0,0.0,1.6991692781448364,20.0,0.032568059861660004,0.0,372.3999938964844,11.0860946,49.4585902,,,,,,,,,,,,,,,
