sensor,time,seconds_elapsed,z,y,x,relativeAltitude,pressure,batteryLevel,batteryState,lowPowerMode,brightness,lux,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude,version,device name,recording time,platform,appVersion,device id,sensors,sampleRateMs,qz,qy,qx,qw,roll,pitch,yaw
Magnetometer,1.682086161777643e+18,0.14764306640625,-8.356999397277832,-48.507198333740234,-6.575799942016602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161787693e+18,0.157693115234375,-6.978399753570557,-48.568199157714844,-6.185400009155273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.6820861617977428e+18,0.167742919921875,-6.112199783325195,-49.239200592041016,-6.3196001052856445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161807793e+18,0.17779296875,-6.002399921417236,-49.69059753417969,-6.075599670410156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161817843e+18,0.187843017578125,-5.014199733734131,-49.73939895629883,-5.78279972076416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161827893e+18,0.19789306640625,-4.843400001525879,-49.946800231933594,-6.002399921417236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161837943e+18,0.207943115234375,-5.111799716949463,-49.95899963378906,-6.2829999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.6820861618479928e+18,0.217992919921875,-4.0991997718811035,-50.27619934082031,-5.428999900817871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161858043e+18,0.22804296875,-4.538399696350098,-50.202999114990234,-4.940999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161868093e+18,0.238093017578125,-4.123600006103516,-50.78860092163086,-4.770199775695801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161878143e+18,0.24814306640625,-4.379799842834473,-50.71540069580078,-4.697000026702881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161888193e+18,0.258193115234375,-3.9161999225616455,-50.54459762573242,-3.8429999351501465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.6820861618982428e+18,0.268242919921875,-4.221199989318848,-50.874000549316406,-3.4769999980926514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.6820861619082929e+18,0.27829296875,-4.257800102233887,-50.78860092163086,-3.5135998725891113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161918343e+18,0.288343017578125,-3.8917999267578125,-50.6177978515625,-3.3671998977661133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161928393e+18,0.29839306640625,-4.282199859619141,-50.398197174072266,-3.1598000526428223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161938443e+18,0.308443115234375,-5.22160005569458,-50.251800537109375,-3.9284000396728516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.6820861619484928e+18,0.318492919921875,-5.929199695587158,-49.91019821166992,-4.501800060272217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.6820861619585428e+18,0.32854296875,-8.234999656677246,-49.37339782714844,-4.782400131225586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161968593e+18,0.338593017578125,-9.46720027923584,-48.177799224853516,-5.78279972076416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161978643e+18,0.348642822265625,-11.60219955444336,-47.59219741821289,-6.112199783325195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.682086161988693e+18,0.35869287109375,-12.163399696350098,-46.665000915527344,-6.3805999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetometer,1.6820861619987428e+18,0.36874267578125,-13.480999946594238,-45.76219940185547,-6.953999996185303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
